"","sample_number","sample_name","samplename_sequencing_manifest","final_libary_names","dship_operation","niskin.bottle","description","Est_depth","Other_Depth_m","Bottle_Depth_m","Bottle_Temp","Bottle_Salinity","type","date_filtered","volume_filtered","rna_shield","filtered_by","field_box_cell","location_field","notes","sample_conc_ng.ul","extracted.by","extracted.on","final_storage_box_cell","sequencing_job","sequencing_run_plate_well","sequencing_notes","sequencing_job_2","sample_sequencing2_manifest2","sequencing2_run_plate_well","sequencing2_notes","libraryname_pro","libraryname_euk","proQC","eukQC"
"20191029_flowthrough__18S.exp.",1,"20191029_flowthrough","20191029_flowthrough_","20191029_flowthrough_","PS122/1_5-45 UWS_PS","","29.10.2019 06:00","11 m",11,NA,NA,NA,"FT_DNA","20191029","500","no","Jessie","1_1","JBCOLD_1","","0.579","emelia",20201109,"1_1","2012220-1","1_1_A1","","","","","","20191029_flowthrough__16S.exp.","20191029_flowthrough__18S.exp.",NA,NA
"20191030_flowthrough__18S.exp.",2,"20191030_flowthrough","20191030_flowthrough_","20191030_flowthrough_","PS122/1_5-43 UWS_PS","","30.10.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191030","500","no","Jessie","1_2","JBCOLD_1","noticable orangish-red material loaded onto filter","1.63","emelia",20201109,"1_2","2012220-1","1_1_A2","","","","","","20191030_flowthrough__16S.exp.","20191030_flowthrough__18S.exp.",NA,NA
"20191031_flowthrough__18S.exp.",3,"20191031_flowthrough","20191031_flowthrough_","20191031_flowthrough_","PS122/1_5-42 UWS_PS","","31.10.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191031","1000","no","Jessie","1_3","JBCOLD_1","","0.45","emelia",20201109,"1_3","2012220-1","1_1_A3","","","","","","20191031_flowthrough__16S.exp.","20191031_flowthrough__18S.exp.",NA,NA
"20191101_flowthrough__18S.exp.",4,"20191101_flowthrough","20191101_flowthrough_","20191101_flowthrough_","PS122/1_5-44 UWS_PS","","01.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191101","1000","no","Jessie","1_4","JBCOLD_1","","1.74","emelia",20201109,"1_4","2012220-1","1_1_A4","","","","","","20191101_flowthrough__16S.exp.","20191101_flowthrough__18S.exp.",NA,NA
"20191102_CTD_160m__18S.exp.",5,"20191102_CTD_160m","20191102_CTD_160m_","20191102_CTD_160m_","PS122/1_5-59 CTD_SBE9plus_935","3","","cold halocline",NA,161.284,0.8593,34.7619,"CTD","20191102","400","no","Jessie","1_5","JBCOLD_1","","0.304","emelia",20201109,"1_5","2012220-1","1_1_A5","","","","","","20191102_CTD_160m__16S.exp.","20191102_CTD_160m__18S.exp.",NA,NA
"20191102_CTD_50m__18S.exp.",6,"20191102_CTD_50m","20191102_CTD_50m_","20191102_CTD_50m_","PS122/1_5-59 CTD_SBE9plus_935","5","","PSW",NA,50.069,-1.7328,34.0674,"CTD","20191102","600","no","Jessie","1_6","JBCOLD_1","","0.621","emelia",20201109,"1_6","2012220-1","1_1_A6","","","","","","20191102_CTD_50m__16S.exp.","20191102_CTD_50m__18S.exp.",NA,NA
"20191102_CTD_100m__18S.exp.",7,"20191102_CTD_100m","20191102_CTD_100m_","20191102_CTD_100m_","PS122/1_5-59 CTD_SBE9plus_935","4","","cold halocline",NA,100.561,-1.065,34.428,"CTD","20191102","600","no","Jessie","1_7","JBCOLD_1","","0.327","emelia",20201109,"1_7","2012220-1","1_1_A7","","","","","","20191102_CTD_100m__16S.exp.","20191102_CTD_100m__18S.exp.",NA,NA
"20191102_CTD_260m__18S.exp.",8,"20191102_CTD_260m","20191102_CTD_260m_","20191102_CTD_260m_","PS122/1_5-59 CTD_SBE9plus_935","1","","Atlantic water",NA,263.543,1.3785,34.8846,"CTD","20191102","600","no","Jessie","1_8","JBCOLD_1","","0.484","emelia",20201109,"1_8","2012220-1","1_1_A8","","","","","","20191102_CTD_260m__16S.exp.","20191102_CTD_260m__18S.exp.",NA,NA
"20191102_CTD_20m__18S.exp.",9,"20191102_CTD_20m","20191102_CTD_20m_","20191102_CTD_20m_","PS122/1_5-59 CTD_SBE9plus_935","6","","chlmax",NA,20.084,-1.7807,32.626,"CTD","20191102","600","no","Jessie","1_9","JBCOLD_1","","0.898","emelia",20201109,"1_9","2012220-1","1_1_A9","","","","","","20191102_CTD_20m__16S.exp.","20191102_CTD_20m__18S.exp.",NA,NA
"20191102_flowthrough__18S.exp.",10,"20191102_flowthrough","20191102_flowthrough_","20191102_flowthrough_","PS122/1_5-86 UWS_PS","","02.11.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191102","1000","no","Jessie","1_10","JBCOLD_1","","2.77","emelia",20201109,"1_10","2012220-1","1_1_A10","","","","","","20191102_flowthrough__16S.exp.","20191102_flowthrough__18S.exp.",NA,NA
"20191103_flowthrough__18S.exp.",11,"20191103_flowthrough","20191103_flowthrough_","20191103_flowthrough_","PS122/1_5-87 UWS_PS","","03.11.2019 06:00","11 m",11,NA,NA,NA,"FT_DNA","20191103","1000","no","Jessie","1_11","JBCOLD_1","","1.21","emelia",20201109,"1_11","2012220-1","1_1_A11","","","","","","20191103_flowthrough__16S.exp.","20191103_flowthrough__18S.exp.",NA,NA
"20191104_flowthrough__18S.exp.",12,"20191104_flowthrough","20191104_flowthrough_","20191104_flowthrough_","PS122/1_6-88 UWS_PS","","04.11.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191104","1000","no","Jessie","1_12","JBCOLD_1","","0.609","emelia",20201109,"1_12","2012220-1","1_1_A12","","","","","","20191104_flowthrough__16S.exp.","20191104_flowthrough__18S.exp.",NA,NA
"20191105_flowthough__18S.exp.",13,"20191105_flowthough","20191105_flowthough_","20191105_flowthough_","PS122/1_6-89 UWS_PS","","05.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191105","1000","no","Jessie","1_13","JBCOLD_1","","1.56","emelia",20201109,"1_13","2012220-1","1_1_B1","","","","","","20191105_flowthough__16S.exp.","20191105_flowthough__18S.exp.",NA,NA
"20191106_flowthrough__18S.exp.",14,"20191106_flowthrough","20191106_flowthrough_","20191106_flowthrough_","PS122/1_6-90 UWS_PS","","06.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191106","1000","no","Jessie","1_14","JBCOLD_1","","1.89","emelia",20201109,"1_14","2012220-1","1_1_B2","","","","","","20191106_flowthrough__16S.exp.","20191106_flowthrough__18S.exp.",NA,NA
"20191107_flowthrough__18S.exp.",15,"20191107_flowthrough","20191107_flowthrough_","20191107_flowthrough_","PS122/1_6-91 UWS_PS","","07.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191107","1000","no","Jessie","1_15","JBCOLD_1","","1.84","emelia",20201109,"1_15","2012220-1","1_1_B3","","","","","","20191107_flowthrough__16S.exp.","20191107_flowthrough__18S.exp.",NA,NA
"20191108_flowthrough__18S.exp.",16,"20191108_flowthrough","20191108_flowthrough_","20191108_flowthrough_","PS122/1_6-92 UWS_PS","","08.11.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191108","1000","no","Jessie","1_16","JBCOLD_1","","2.15","emelia",20201109,"1_16","2012220-1","1_1_B4","","","","","","20191108_flowthrough__16S.exp.","20191108_flowthrough__18S.exp.",NA,NA
"20191104_icecore_bottom10cm__18S.exp.",17,"20191104_icecore_bottom10cm","20191104_icecore_bottom10cm_","20191104_icecore_bottom10cm_","PS122/1_6-34 SI_corer_9cm FYI20191104","","FYI core 10cm bottom","",NA,NA,NA,NA,"ICE","20191108","550","no","Jessie","1_17","JBCOLD_1","","5.1","emelia",20201109,"1_17","2012220-1","1_1_B5","","","","","","20191104_icecore_bottom10cm__16S.exp.","20191104_icecore_bottom10cm__18S.exp.",NA,NA
